1 NAME|2 ROOM|3 IP|4 OS|5 OS version|6 CATEGORY|7 OWNER|8 AUTHORITY|9 BARCODE|10 DESCRIPTION|11 SPARE1|12 SERIAL NUMBER|13 HOSTID|14 HOST STATUS|15 INVENTORY STATUS|16 FIREWALL|17 TRUSTLEVEL|18 RACKINFO|19 POWER UP|20 SUPPORT TEAM|21 UUID|22 COMMENTS
3bng7x2|CSC265|129.128.159.245|dual-boot|Win10 Ubuntu 18||yang|yang||XPS 8930 i7-8700 32GB||7234862870||NOP|active|OK|||5||0bac65f7-c311-4c93-bc01-9e3fc12e9c0c|
586239-cs|idk||Windows|8.1 Enterprise|laptop|yang|yang|586239|Core i7 4500U @ 1.8 GHz, 8 GB, 1 TB||QB08009497||CLEAN|active|OK|||5||55989164-a114-4fbe-894e-9555e4f3a57f|On UWS
604047-cs|CSC247||Windows|7 Enterprise|laptop|ackerl|ackerl|604047|ThinkPad T410i, Core i3 M370 @ 2.4 GHz, 4 GB, 250 GB||R8-B2F4M||CLEAN|active|OK|||5||18d4a46c-4ff5-4a7b-b2c9-beb9f8996b48|On UWS
abyssus|CSC351|129.128.184.23|Linux|Ubuntu 14.04|regular||athess||||||NOP|active||||5||5bcd3f17-f85c-4d68-b899-baba1cc065cd|
acme|CSC205||Linux|Ubuntu 14.04|regular||hasell,zaiane|543298|Q9400/2.66-8192||1FS5WK1||NOP|active||||5||0d7a06cc-62c6-4304-80ab-23494cac630f|On NAT
adair-crk|CSC217|129.128.184.8|Linux|Ubuntu 16.04|regular|hayward|hayward|604055|i7-6700/GTX1080,32GB RAM, 1 TB HDD||106516329701||NOP|active||||5||b3dbb0da-6b32-4e43-a628-a3b80d8a0e65|
admin-fw1-inside|admin-fw1|129.128.16.252|OpenBSD|4.5|alias|dept|tst||||||CLEAN|active||T||5||2151bbc7-02a8-4d43-bcec-b6a0fb0fe69e|internal interface
admin-fw1|CSC231|129.128.22.241|OpenBSD|4.5|regular|dept|tst||Dell PE 850 P4 80547/2.66GHz-512||F0YQN91||CLEAN|retired||T|B|5||8dbc11aa-348a-4936-9830-37d8a78cd52e|TST managed server
admin-fw2-inside|admin-fw2|129.128.16.253|OpenBSD|4.5|alias|dept|tst||||||CLEAN|active||T||5||aa494ca9-22c9-4d89-8955-48343691522e|internal interface
admin-fw2|CSC231|129.128.22.242|OpenBSD|4.5|regular|dept|tst||Dell PE 850 P4 80547/2.66GHz-512||B0YQN91||CLEAN|retired||T|B|5||e49f0275-cd6d-4773-a09c-8a01c29be144|TST managed server
admin-fw|CSC231|129.128.22.240|||public carp||tst||Dell PE 850 P4 80547/2.66GHz-512||floating||NA|floater||||5||79c149af-84f0-467c-8dfb-a82ce01f8d87|
ahs3|CSC205|129.128.184.33|Linux||regular|ackerl|jiaji,jharder1||||||NOP|active||||5||c19e413a-729b-4f96-8d5f-3525a485294c|same machine as aicml3
